SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
97270,10,2,2,36,.,4,4,1,.,2,.,1,1,.,.,2,6,2,1,2,2,1,2,2,1,2,2,1,4,4,2,0,0,2,1,2,.,.,30235.41928067325,33096.67758174371,2,143,2,2,0.28,Female,HS,English
97271,10,2,2,7,.,4,4,1,94,.,.,1,1,.,1,.,.,.,1,1,2,1,2,2,.,.,.,.,6,6,1,2,1,1,4,2,1,2,11385.468047746881,12093.085817759904,1,139,9,9,1.82,Female,HS,English
97272,10,2,2,80,.,4,4,1,.,2,.,1,1,.,.,2,3,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,2,4,1,2,.,18447.600671571156,18055.2854203829,2,148,3,3,0.97,Female,<HS,English
97273,10,1,1,12,.,3,3,.,.,.,.,1,1,.,6,.,.,.,1,1,2,.,.,.,.,.,.,.,5,5,0,3,0,2,2,.,1,.,50421.78136582488,0,2,138,.,.,.,Male,.,English
97274,10,2,1,80,.,5,7,1,.,1,1,1,1,.,.,3,6,.,1,2,2,1,2,2,1,2,2,.,1,1,0,0,1,1,4,2,1,.,16160.97572288889,17350.243682290537,1,136,5,5,1.66,Male,HS,English
97275,10,2,2,39,.,4,4,2,.,2,.,1,1,.,.,3,1,2,1,2,2,1,2,2,1,2,2,1,5,5,0,1,0,2,2,2,1,.,48720.6543530411,53385.962948129905,2,143,6,6,1.07,Female,HS,English
97276,10,2,2,0,9,1,1,1,11,.,.,1,1,.,.,.,.,.,2,1,2,2,2,2,.,.,.,.,4,4,2,0,0,2,2,1,1,2,6451.491283109575,6566.346997223827,2,136,6,6,1.01,Female,<HS,Spanish
97277,10,2,1,47,.,1,1,1,.,2,.,1,1,.,.,2,5,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,3,1,3,.,18651.950045263562,20248.900786384835,2,137,1,1,0.04,Male,<HS,English
97278,10,2,2,27,.,4,4,1,.,2,.,1,1,.,.,4,5,2,1,2,2,1,2,2,1,2,2,1,3,3,0,2,0,2,2,2,3,.,31654.414891407338,34250.507044201026,2,142,4,4,0.85,Female,HS,English
97279,10,2,2,17,.,3,3,1,211,2,.,1,1,.,11,.,.,.,1,2,2,1,2,2,1,2,2,1,3,3,0,1,0,2,3,1,2,.,28366.712519074812,29157.810663886856,2,143,5,5,0.96,Female,<HS,English
